"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
228,"Pelvic Floor Exercises During Gestation in the Prevention of Urinary Incontinence and Pelvic Floor Muscle Dysfunction","Completed","No Results Available","Pelvic Floor Abnormalities","Procedure: Pregnants for receive the physical therapy guide","Assis Regional Hospital, Assis, São Paulo, Brazil","https://ClinicalTrials.gov/show/NCT00740428"
229,"Predictive Objective Parameters for Outcome of the Treatment of Stress Urinary Incontinence","Completed","No Results Available","Urinary Incontinence",,"Department of Urology, Perugia, Italy","https://ClinicalTrials.gov/show/NCT00658944"
230,"Burden of Urinary Incontinence in Home Care Patients in the State of Geneva","Unknown status","No Results Available","Urinary Incontinence",,,"https://ClinicalTrials.gov/show/NCT00530036"
231,"Promoting Self Care to Prevent Urinary Incontinence (UI): A Four-Year Follow-up","Completed","No Results Available","Urinary Incontinence|Bladder Control","Behavioral: Bladder Health Class consisting of 6 weekly group sessions|Behavioral: Practice PFMT and BT|Behavioral: Clinic examination for pelvic muscle function|Behavioral: Record keeping in 3-day voiding diary","University of Michigan, Ann Arbor, Michigan, United States","https://ClinicalTrials.gov/show/NCT00506766"
232,"Measurement of Vaginal Squeeze Pressure in Incontinent Patients","Unknown status","No Results Available","Urinary Incontinence",,"Hospital de Clínicas de Porto Alegre, Porto Alegre, RS, Brazil","https://ClinicalTrials.gov/show/NCT00490438"
233,"Comparison of Body and Room Temperature Saline in Urodynamics","Unknown status","No Results Available","Urinary Incontinence","Procedure: Urodymanics","Tripler Army Medical Center, Tamc, Hawaii, United States","https://ClinicalTrials.gov/show/NCT00355433"
234,"A Study to Evaluate Solifenacin Succinate in Combination With Tamsulosin for the Treatment of Residual Overactive Bladder Symptoms (OAB) in Men.","Completed","No Results Available","Urinary Incontinence","Drug: solifenacin succinate|Drug: tamsulosin|Drug: placebo","Birmingham, Alabama, United States|Phoenix, Arizona, United States|Tuscon, Arizona, United States|Atherton, California, United States|Beverly Hills, California, United States|Buena Park, California, United States|Buena, California, United States|Carmichael, California, United States|Culver City, California, United States|Fresno, California, United States|Mission Hills, California, United States|Modesto, California, United States|Orange, California, United States|San Bernardino, California, United States|San Diego, California, United States|Torrance, California, United States|Aurora, Colorado, United States|Denver, Colorado, United States|Wheat Ridge, Colorado, United States|Danbury, Connecticut, United States|Clearwater, Florida, United States|Daytona Beach, Florida, United States|Fort Myers, Florida, United States|New Port Richey, Florida, United States|Orlando, Florida, United States|Orlando, Florida, United States|Pembroke Pines, Florida, United States|Pembroke Pines, Florida, United States|Tallahassee, Florida, United States|Wellington, Florida, United States|Atlanta, Georgia, United States|Blue Ridge, Georgia, United States|Marietta, Georgia, United States|Roswell, Georgia, United States|Sandy Springs, Georgia, United States|Snellville, Georgia, United States|Coeur d'Alene, Idaho, United States|Evansville, Indiana, United States|Wichita, Kansas, United States|Shreveport, Louisiana, United States|Boston, Massachusetts, United States|Watertown, Massachusetts, United States|Grand Rapids, Michigan, United States|Jackson, Mississippi, United States|West Orange, New Jersey, United States|Endwell, New York, United States|Garden City, New York, United States|New York, New York, United States|New York, New York, United States|Orchard Park, New York, United States|Poughkeepsie, New York, United States|Rochester, New York, United States|Concord, North Carolina, United States|Hickory, North Carolina, United States|Winston Salem, North Carolina, United States|Cincinnati, Ohio, United States|Cincinnati, Ohio, United States|Bethany, Oklahoma, United States|Norman, Oklahoma, United States|Springfield, Oregon, United States|Bala Cynwyd, Pennsylvania, United States|Bensalem, Pennsylvania, United States|Camp Hill, Pennsylvania, United States|Lancaster, Pennsylvania, United States|Uniontown, Pennsylvania, United States|Mt. Pleasant, South Carolina, United States|Simpsonville, South Carolina, United States|Nashville, Tennessee, United States|Houston, Texas, United States|Ogden, Utah, United States|Salt Lake City, Utah, United States|Virginia Beach, Virginia, United States|Mountain Lake Terrace, Washington, United States|Spokane, Washington, United States","https://ClinicalTrials.gov/show/NCT00333112"
235,"Effectiveness and Safety of Bulkamid® as Bulking Agent for the Treatment of Female Urinary Incontinence","Completed","No Results Available","Urinary Incontinence","Device: Bulkamid","Skejby Sygehus, Aarhus, Denmark|KAS Glostrup, Glostrup, Denmark|Helsinki University Central Hospital, Helsinki, Finland|DRK Gemeinnützige Krankenhaus Gmbh, Chemnitz, Germany|Karolinska Institutet, Stockholm, Sweden|Södersjukhuset, Stockholm, Sweden|Worthing Hospital, Worthing, West Sussex, United Kingdom|Birmingham Women´s Hospital, Birmingham, United Kingdom|University Hospital of Hartlepool, Hartlepool, United Kingdom|St. George´s Hospital, London, United Kingdom","https://ClinicalTrials.gov/show/NCT00333073"
236,"TOMUS-Trial Of Mid-Urethral Slings","Completed","Has Results","Urinary Incontinence","Procedure: retropubic mid-urethral sling (TVT)|Procedure: transobturator mid-urethral sling (TVT-O and the Monarc)","University of Alabama, Birmingham, Alabama, United States|University of California, San Diego, California, United States|Kaiser Permanente, San Diego, California, United States|Loyola University Medical Center, Maywood, Illinois, United States|University of Maryland, Baltimore, Maryland, United States|Oakwood Hospital/Cancer Center, Dearborn, Michigan, United States|William Beaumont Hospital, Royal Oak, Michigan, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|University of Texas Southwestern, Dallas, Texas, United States|University of Texas Health Sciences Center, San Antonio, Texas, United States|University of Utah, Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT00325039"
237,"Efficacy and Safety of OROS Oybutynin and TTS Oxybutynin in Middle-Aged and Elderly Women With Urinary Incontinence","Completed","No Results Available","Urinary Incontinence","Drug: Oxybutynin",,"https://ClinicalTrials.gov/show/NCT00304499"
238,"Acupuncture for Urinary Incontinence","Completed","Has Results","Urinary Incontinence","Procedure: Acupuncture|Other: Sham acupuncture","University of Pittsburgh, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT00297427"
239,"Pelvic Floor Muscle Training to Treat Urinary Incontinence After Radical Prostatectomy","Completed","No Results Available","Urinary Incontinence","Behavioral: Strength training of the pelvic floor muscles|Behavioral: strength training of the pelvic floor muscles with or without follow up instructions by a physiotherapist","Clinical Services, St.Olavs Hospital, Trondheim University Hospital, Trondheim University Hospital, Trondheim, Norway","https://ClinicalTrials.gov/show/NCT00239824"
240,"Conservative Treatment of Postprostatectomy Incontinence","Completed","Has Results","Urinary Incontinence","Behavioral: Behavioral Therapy|Device: Pelvic Floor Electrical Stimulation|Behavioral: Biofeedback|Other: No Treatment","University of Alabama at Birmingham, Birmingham, Alabama, United States","https://ClinicalTrials.gov/show/NCT00212264"
241,"Screening for Urinary Incontinence by Primary Care Providers","Completed","No Results Available","Urinary Incontinence",,,"https://ClinicalTrials.gov/show/NCT00178334"
242,"Low-Intensity Physical Therapy for Prevention of Pre and Postpartum Urinary Incontinence","Terminated","No Results Available","Urinary Incontinence","Procedure: Pelvic Floor Muscle exercises","University of Rochester, Rochester, New York, United States","https://ClinicalTrials.gov/show/NCT00178282"
243,"Randomized Trial for Botox Urinary Incontinence","Completed","Has Results","Urinary Incontinence","Other: Bladder diary|Other: Questionnaires|Procedure: Urodynamics|Other: Pad weight","University of Rochester, Rochester, New York, United States","https://ClinicalTrials.gov/show/NCT00178191"
244,"Program to Reduce Incontinence by Diet and Exercise","Completed","No Results Available","Urinary Incontinence","Behavioral: Lifestyle & Behavioral Change Program|Behavioral: Structured Education Program","University of Alabama, Birmingham, Alabama, United States|University of Arkansas, Little Rock, Arkansas, United States|University of California at San Francisco, San Francisco, California, United States|Miriam Hospital/Brown University, Providence, Rhode Island, United States","https://ClinicalTrials.gov/show/NCT00091988"
245,"Behavior Enhances Drug Reduction of Incontinence (BE-DRI)","Completed","Has Results","Urinary Incontinence (UI)","Drug: Tolterodine|Behavioral: Behavioral training","University of Alabama, Birmingham, Alabama, United States|University of California, San Diego, California, United States|Loyola University Medical Center, Maywood, Illinois, United States|University of Maryland, Baltimore, Maryland, United States|Oakwood Hospital and Medical Center, Royal Oak, Michigan, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|University of Texas Southwestern, Dallas, Texas, United States|University of Texas Health Sciences Center, San Antonio, Texas, United States|University of Utah, Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT00090584"
246,"Prevent Inability To Control Urination","Completed","No Results Available","Urinary Incontinence","Behavioral: Bladder Health Class","University of Michigan, Ann Arbor, Michigan, United States","https://ClinicalTrials.gov/show/NCT00075114"
247,"Comparison of Surgical Procedures to Reduce Urinary Stress Incontinence","Completed","Has Results","Urinary Incontinence","Procedure: Burch Modified Tanagho|Procedure: Autologous Fascia Sling","University of Alabama, Birmingham, Alabama, United States|University of California, San Diego, California, United States|Loyola University Medical Center, Maywood, Illinois, United States|University of Maryland, Baltimore, Maryland, United States|Beaumont Hospital, Royal Oak, Michigan, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|University of Texas, Southwestern, Dallas, Texas, United States|University of Texas Health Sciences Center, San Antonio, Texas, United States|University of Utah, Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT00064662"
248,"Exercise and Pelvic Floor Health Education Program Effectiveness","Active, not recruiting","No Results Available","Urinary Incontinence|Pelvic Floor Disorders|Exercise Addiction","Other: exercise","Harran University Hospital, Şanlıurfa, Turkey/Şanlıurfa, Turkey","https://ClinicalTrials.gov/show/NCT05410899"
249,"Pelvic Floor Muscle Training on Urinary Incontinence Symptoms and Quality of Life in Women Who Practice Physical Exercise","Active, not recruiting","No Results Available","Urinary Incontinence|Pelvic Floor Disorders|Quality of Life","Other: PFMT","Centro de Ciências da Saúde e do Esporte (CEFID), Florianópolis, Santa Catarina, Brazil","https://ClinicalTrials.gov/show/NCT05409014"
250,"Platelet-Rich Plasma for Stress Urinary Incontinence","Recruiting","No Results Available","Urinary Incontinence,Stress|Urinary Incontinence","Procedure: Platelet-rich plasma injection","University of Iowa, Iowa City, Iowa, United States","https://ClinicalTrials.gov/show/NCT05390970"
251,"Mobility and Voiding Exercises in Older Women With Urinary Incontinence (MoVEonUp)","Not yet recruiting","No Results Available","Urinary Incontinence, Urge","Behavioral: Exercise Group",,"https://ClinicalTrials.gov/show/NCT05375344"
252,"Effect of EMG Biofeedback in Female Patients With Stress Urinary Incontinence","Recruiting","No Results Available","Stress Urinary Incontinence","Other: EMG biofeedback program:|Other: Sham EMG biofeededback:|Other: Pelvic floor muscle training home exercise program:","Ahi Evran University, Kırşehir, City Centre, Turkey","https://ClinicalTrials.gov/show/NCT05366426"
253,"The Role of Kegel Exercises Book to Improve Treatment in Stress Urinary Incontinence Women","Recruiting","No Results Available","Stress Urinary Incontinence","Device: Kegel Exercises guidebook","Cipto Mangunkusumo Hospital, Jakarta Pusat, Jakarta, Indonesia","https://ClinicalTrials.gov/show/NCT05304312"
254,"The Role of Platelet Rich Plasma Injections in Cases of Stress Incontinence","Recruiting","No Results Available","Stress Urinary Incontinence|Urinary Incontinence","Procedure: platelet rich plasma","SAYED GALAL HOSPITAL, AND AlGalaaTeaching HOSPITAL, Cairo, Egypt","https://ClinicalTrials.gov/show/NCT05295420"
255,"Comparison of Two Different Pelvic Floor Muscle Training Programs in Stress Urinary Incontinence","Not yet recruiting","No Results Available","Stress Urinary Incontinence","Other: Classical Pelvic Floor Muscle Training|Other: Functional Pelvic Floor Muscle Training","Berna Tokmak, Ankara, Turkey","https://ClinicalTrials.gov/show/NCT05293886"
256,"Elderly Urinary Incontinence Caregiver Burden","Completed","No Results Available","Caregiver Burden|Urinary Incontinence","Other: no intervention","Ankara Medipol University, Ankara, Turkey","https://ClinicalTrials.gov/show/NCT05277467"
257,"Efficacy of Biofeedback-Assisted Pelvic Muscle Floor Training and Electrical Stimulation on Women With Stress Urinary Incontinence","Enrolling by invitation","No Results Available","Stress Urinary Incontinence|Urethral Hypermobility|Intrinsic Sphincter Deficiency","Behavioral: surface electromyographic biofeedback assisted pelvic floor muscle training|Behavioral: surface electromyographic biofeedback and electrical stimulation","Far Eastern Memorial Hospital, New Taipei City, Taiwan","https://ClinicalTrials.gov/show/NCT05272644"
258,"Comparison of Pelvic Floor Therapy and Yoga on Stres Urinary Incontinence Incontinence","Recruiting","No Results Available","Urinary Incontinence|Urinary Tract Disorders","Procedure: Pelvic floor Physical Therapy|Procedure: Therapeutic Yoga Training","Special Nova Therapy and Rehabilitation Center, Diyarbakır, Turkey","https://ClinicalTrials.gov/show/NCT05253898"
259,"Biological Sling Allograft (UVT) for the Treatment of Urinary Incontinence in Women Presenting With Synthetic Sling Complications","Recruiting","No Results Available","Female Stress Incontinence|Stress Urinary Incontinence","Biological: UVT","Hôpital de la Pitié-Salpêtrière, Assistance Publique des Hôpitaux de Paris, Paris, France|Hôpital Lyon Sud, Hospices Civils de Lyon, Pierre-Bénite, France","https://ClinicalTrials.gov/show/NCT05207189"
260,"Home Biofeedback or Pelvic Floor Physical Therapy for Postpartum Urinary Incontinence.","Not yet recruiting","No Results Available","Urinary Incontinence|Pelvic Floor Disorders","Device: Pericoach® by Analytica|Other: Pelvic Floor Physical Therapy|Other: Questionnaires-No Intervention","West Penn Hospital, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT05194462"
261,"Comparison of Stabilization Exercises and Pelvic Floor Muscle Training in Women With Stress Urinary Incontinence","Not yet recruiting","No Results Available","Stress Urinary Incontinence","Other: Pelvic floor exercises|Other: Stabilization exercises",,"https://ClinicalTrials.gov/show/NCT05193435"
262,"Tele-rehabilitation Group Program for Urinary Incontinence in Older Women","Recruiting","No Results Available","Urinary Incontinence|Urinary Stress Incontinence","Behavioral: Group pelvic floor telerehabilitation","Centre de recherche de l'Institut universitaire de gériatrie de Montréal (CRIUGM), Montréal, Quebec, Canada","https://ClinicalTrials.gov/show/NCT05182632"
263,"Effectiveness of Video Conferencing in Urinary Incontinence","Recruiting","No Results Available","Urinary Incontinence,Stress|Telerehabilitation|Pelvic Floor Muscle Training|Videoconferencing","Other: Pelvic floor muscle training, diaphragmatic breathing exercise, core exercises","Berivan Beril Kılıç, Istanbul, Turkey","https://ClinicalTrials.gov/show/NCT05154760"
264,"Comparison Between Home-based Wearable Device and Supervised PFMT on SUI/MUI","Recruiting","No Results Available","Stress Urinary Incontinence","Device: PFMT with device","Peking Union Medical College Hospital, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT05115864"
265,"Platelet Rich Plasma in Women With Urinary Incontinence","Recruiting","No Results Available","Urinary Incontinence|Stress Urinary Incontinence","Biological: Platelet Rich Plasma Injections|Other: Normal Saline Injections","Urogynecological Unit of Alexandra Hospital, Athens, Greece","https://ClinicalTrials.gov/show/NCT05112718"
266,"Carbon Dioxide Acupulse Laser Treatment Versus Sham Treatment and Stress Urinary Incontinence Symptoms","Completed","No Results Available","Stress Urinary Incontinence","Device: carbon dioxide laser|Device: sham laser","Rambam health care campus, Haifa, Israel","https://ClinicalTrials.gov/show/NCT05097456"
267,"Pilates Method and/or Photobiomodulation in Women With Stress Urinary Incontinence","Active, not recruiting","No Results Available","Laser Therapy|Urinary Incontinence,Stress|Pilates Method","Other: Pilates|Other: Photobiomodulation","Clínica Escola da Faculdade Cenecista de Bento Gonçalves Clínica Escola CNECBG, Bento Goncalves, RS, Brazil","https://ClinicalTrials.gov/show/NCT05096936"
268,"Evaluation of Integrated Optimization Schemes for Female Stress Incontinence","Completed","No Results Available","Stress Urinary Incontinence in Women","Device: Electroacupuncture group|Device: Sham electroacupuncture group|Behavioral: Pelvic floor muscle training","Department of Acupuncture and Moxibustion, Nanjing Hospital of Chinese Medicine, Nanjing University of Chinese Medicine, Nanjing, Jiangsu, China|Department of Acupuncture and Moxibustion, Shaanxi Hospital of Traditional Chinese Medicine, Xi'an, Shaanxi, China|Department of Acupuncture and Moxibustion, Yueyang Hospital of Integrated Traditional Chinese and Western Medicine, Shanghai University of Traditional Chinese Medicine, Shanghai, Shanghai, China|Department of Acupuncture and Moxibustion, First Teaching Hospital of Tianjin University of Traditional Chinese Medicine, Tianjin, Tianjin, China","https://ClinicalTrials.gov/show/NCT05053373"
269,"Differences in the Effectiveness of Electromagnetic Stimulation Therapy and Kegel Exercises Based on Compliance, Subjective - Objective Symptoms and Pelvic Floor Muscle Strength in Postpartum Stress Urinary Incontinence","Completed","No Results Available","Stress Urinary Incontinence|Postpartum","Procedure: NOVAMAG NT-60|Behavioral: Kegel Exercises","RS YPK Mandiri, Jakarta Pusat, Jakarta, Indonesia","https://ClinicalTrials.gov/show/NCT05021302"
270,"Adductor Strengthening and Pelvic Floor Muscle Strengthening Exercises on Stress Incontinence in Gym Females","Completed","No Results Available","Urinary Incontinence, Stress","Other: Pelvic floor muscle plus adductor strengthening|Other: Pelvic floor muscle exercises","Genesis fitness centere, Gujranwala, Punjab, Pakistan","https://ClinicalTrials.gov/show/NCT04994041"
271,"Comparing KIM to TVT Exact Sling","Recruiting","No Results Available","Stress Urinary Incontinence","Device: Gynecare TVT Exact Continence System|Device: Neomedic KIM (Knotless Incontinence Mesh)","UNC Hospitals Hillsborough Campus, Hillsborough, North Carolina, United States|Rex Hospital, Raleigh, North Carolina, United States","https://ClinicalTrials.gov/show/NCT04985799"
272,"Feasibility of BOTOX Injection on Improving Female Stress Urinary Incontinence","Recruiting","No Results Available","Stress Urinary Incontinence","Drug: onabotulinumtoxin A","Weill Cornell Medicine, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04984317"
273,"Laser Acupuncture and Pelvic Floor Training on Stress Urinary Incontinence Postmenopausal","Not yet recruiting","No Results Available","Stress|Urinary|Incontinence","Other: Laser acupuncture therapy and pelvic floor training","Faculty of physical therapy, Cairo, Egypt","https://ClinicalTrials.gov/show/NCT04959084"
274,"Urinary Incontinence and Anxiety in Pregnancy","Completed","No Results Available","Anxiety in Pregnancy (Disorder)|Urinary Incontinence|Quality of Life","Diagnostic Test: Gynecological examination|Other: Pelvic Organ Prolapse Quantification (POP-Q)|Other: Incontinence Consultation Questionnaire-Short Form (ICIQ-SF) questionnaire|Other: Pregnancy-Related Anxiety Questionnaire-Revised 2 (PRAQ-R2) questionnaire","Esin Merve Erol Koç, Ankara, Turkey","https://ClinicalTrials.gov/show/NCT04942951"
275,"Mesh-free Suture Urethropexy for Treating Stress Urinary Incontinence, Efficacy and Durability Trial","Recruiting","No Results Available","Stress Urinary Incontinence","Procedure: Urethropexy","NorthShore University HealthSystem, Skokie, Illinois, United States","https://ClinicalTrials.gov/show/NCT04881721"
276,"Post-Market Clinical Follow-Up onTVT EXACT® Continence System","Recruiting","No Results Available","Stress Urinary Incontinence","Device: Intervention","Duke University, Durham, North Carolina, United States|Institute for Female Pelvic Medicine, North Wales, Pennsylvania, United States|UPMC, Pittsburgh, Pennsylvania, United States|Ordensklinikum Linz, Linz, Austria|Herlev Hospital, Hillerod, Denmark|Hopital Jeanne de Flandres, Lille, France|Karolinska Institute, Stockholm, Sweden","https://ClinicalTrials.gov/show/NCT04829994"
277,"Post Market Clinical Follow-up Study on TVT ABBREVO® Continence System","Recruiting","No Results Available","Stress Urinary Incontinence","Device: Intervention","Institute for Female Pelvic Medicine, North Wales, Pennsylvania, United States|General University Hospital, Prague, Czechia|Bio-Medical University Rome, Rome, Italy|Zelazna Medical Center, Warsaw, Poland|Ospedale Regionale Beata Vergine, Mendrisio, Switzerland","https://ClinicalTrials.gov/show/NCT04829357"
278,"Safety and Clinical Performance Study of the ARTUS MONO Artificial Urinary Sphincter (AUS)","Not yet recruiting","No Results Available","Stress Urinary Incontinence","Device: Artificial Urinary Sphincter implantation","Thomayer hospital, Prague, Czechia|Hospital Germans Trias i Pujol, Barcelona, Badalona, Spain|Hospital Clinico San Carlos, Madrid, Spain","https://ClinicalTrials.gov/show/NCT04827199"
279,"Hypertonic Saline Injection For Urinary Incontinence","Completed","No Results Available","Urinary Stress Incontinence","Procedure: Periurethral injection|Drug: Hypertonic (10%) saline","Turgut Ozal University, Malatya, Turkey|İnonu University, Malatya, Turkey","https://ClinicalTrials.gov/show/NCT04812574"
280,"Laparoscopic Burch Colposuspension Versus Midurethral Sling for Treatment of Female Stress Urinary Incontinence a Randomized Controlled Trial","Not yet recruiting","No Results Available","Treatment of Female Stress Urinary Incontinence","Procedure: Laparoscopic Burch colposuspension and Mid-urethral slings (TVT and TOT)",,"https://ClinicalTrials.gov/show/NCT04775186"
281,"Efficacy of Surface Electrical Stimulation for Urge Urinary Incontinence in Women","Recruiting","No Results Available","Urge Incontinence","Device: ELITONE UUI","Elidah, Monroe, Connecticut, United States","https://ClinicalTrials.gov/show/NCT04752709"
282,"Autologous Muscle Stem Cell Therapy for Treatment of Congenital Urinary Incontinence in Epispadias Patients","Not yet recruiting","No Results Available","Urinary Incontinence|Epispadias, Male","Biological: Primary human muscle stem cells (Satori-01)|Other: Placebo","Clinic for Pediatric Urology in cooperation with University Hospital Regensburg, St. Hedwig Hospital, Regensburg, Germany|Pediatric Urology, Department for Urology University of Ulm, Ulm, Germany","https://ClinicalTrials.gov/show/NCT04729582"
283,"The Effectiveness of NMES Over the Thigh in Women With Urge Urinary Incontinence Symptoms","Recruiting","No Results Available","Physiotherapy|Women's Health|Urge Incontinence|Electrical Stimulation","Device: Electrotherapy|Device: Sham Electrotherapy","Recep Tayyıp Erdogan University Guneysu Vocational School of Physical Therapy and Rehabilitation, Rize, Guneysu, Turkey","https://ClinicalTrials.gov/show/NCT04727983"
284,"IUL Study A Randomized Sham - Controlled Clinical Study","Recruiting","No Results Available","Stress Urinary Incontinence","Device: Intraurethral laser therapy|Device: Intraurethral SHAM laser therapy","Departement of Obstetrics and Gynecology, Graz, Styria, Austria","https://ClinicalTrials.gov/show/NCT04707690"
285,"Erb:Yag Laser Versus Pelvic Floor Training for the Treatment of Women With Mild to Moderate Stress Urinary Incontinence","Recruiting","No Results Available","Stress Urinary Incontinence","Device: Erbium Yag Laser|Behavioral: Pelvic Floor Training","Hospital Clinico de La Florida, Santiago, Chile","https://ClinicalTrials.gov/show/NCT04705285"
286,"Mindfulness + tDCS to Reduce Urgency Incontinence in Women","Recruiting","No Results Available","Urinary Incontinence, Urge","Device: Transcranial direct current stimulation|Behavioral: Mindfulness","University of Pittsburgh, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT04652869"
287,"Use of Non-ablative Vaginal Erbium YAG Laser for the Treatment of Stress Urinary Incontinence.","Recruiting","No Results Available","Urinary Incontinence,Stress","Device: Non-ablative vaginal Erbium YAG laser treatment|Other: PFE","UZ Leuven, Leuven, Belgium","https://ClinicalTrials.gov/show/NCT04643353"
288,"A Novel Biofeedback for Urinary Incontinence in Women","Recruiting","No Results Available","Stress Urinary Incontinence","Device: New Biofeedback","Kwong Wah Hospital, Kowloon, Hong Kong","https://ClinicalTrials.gov/show/NCT04638348"
289,"Erbium Vaginal Laser for the Treatment of Stress Urinary Incontinence","Recruiting","No Results Available","Stress Urinary Incontinence","Device: Erbium laser|Device: Sham laser","Rambam Health Care Campus, Haifa, Israel","https://ClinicalTrials.gov/show/NCT04636749"
290,"Effect of TECAR in Treating Stress Urinary Incontinence","Not yet recruiting","No Results Available","Stress Urinary Incontinence","Device: TECAR followed by pelvic floor exercises|Other: pelvic floor exercises",,"https://ClinicalTrials.gov/show/NCT04612205"
291,"Neuromodulation Effect of Laser Acupuncture on Stress Urinary Incontinence","Recruiting","No Results Available","Stress Urinary Incontinence","Device: Low Level Laser Therapy|Other: Pelvic floor muscle training","October 6 University, Giza, El-Sheikh Zayed City Giza 1133 Egypt, Egypt","https://ClinicalTrials.gov/show/NCT04590157"
292,"Pessary Use for Stress Urinary Incontinence in Pregnancy","Recruiting","No Results Available","Stress Urinary Incontinence|Pregnancy Related","Device: Cooper Surgical Ring Pessary with Incontinence Knob","Providence Health Care - St Paul's Hospital, Vancouver, British Columbia, Canada","https://ClinicalTrials.gov/show/NCT04590092"
293,"Female Sling Procedure","Completed","No Results Available","Urinary Incontinence,Stress","Procedure: trans-obturator procedure",,"https://ClinicalTrials.gov/show/NCT04571346"
294,"Ten Years Follow-up After Insertion of a MUS (Mid Urethral Sling) Due to Stress Urinary Incontinence","Not yet recruiting","No Results Available","Stress Urinary Incontinence",,"Department of Obstetrics and Gynecology, Stockholm South General Hospital, Stockholm, Sweden","https://ClinicalTrials.gov/show/NCT04558762"
295,"Rehabilitation With Mobile Applications in Women With SUI","Not yet recruiting","No Results Available","Urinary Incontinence|Stress Urinary Incontinence","Device: Perineal rehabilitation with mobile applications for women with SUI|Device: Classic perineal rehabilitation for women with SUI",,"https://ClinicalTrials.gov/show/NCT04518683"
296,"A Phase 2 Study of TAS-303 in Female Patients With Stress Urinary Incontinence","Completed","No Results Available","Stress Urinary Incontinence","Drug: TAS-303 18 mg/day|Drug: Placebo","A site selected by Taiho Pharmaceutical Co., Ltd., Aichi, Japan|A site selected by Taiho Pharmaceutical Co., Ltd., Fukuoka, Japan|A site selected by Taiho Pharmaceutical Co., Ltd., Osaka, Japan|A site selected by Taiho Pharmaceutical Co., Ltd., Tokyo, Japan","https://ClinicalTrials.gov/show/NCT04512053"
297,"Pelvic Floor Muscle Training With a Digital Therapeutic Device to Standard Exercises for Stress Urinary Incontinence","Completed","No Results Available","Stress Urinary Incontinence","Device: Leva Pelvic Digital Health System|Other: Kegel exercises","University of Alabama *** Virtual Trial May be enrolled from any US Location, Birmingham, Alabama, United States|Southern California Permanente Medical Group*** Virtual Trial May be enrolled from any US Location, Irvine, California, United States|University of New Mexico *** Virtual Trial May be enrolled from any US Location, Albuquerque, New Mexico, United States","https://ClinicalTrials.gov/show/NCT04508153"
298,"Treatment of Stress Urinary Incontinence in Women With Autologous Adipose-derived Mesenchymal Stem Cells","Completed","No Results Available","Stress Urinary Incontinence","Biological: Autologous adipose-derived mesenchymal stem cells|Other: Standard treatment according to the Clinical protocols","Hrodna City Clinical Hospital, Hrodna, Belarus","https://ClinicalTrials.gov/show/NCT04446884"
299,"Identification of the UDI-6 and the IIQ-7 Cutoff Scores in Urinary Incontinent Women","Completed","No Results Available","Quality of Life|Urinary Incontinence,Stress|Urinary Incontinence","Diagnostic Test: ICIQ-SF|Diagnostic Test: UDI-6|Diagnostic Test: IIQ-7","Katarzyna Skorupska, Lublin, Poland","https://ClinicalTrials.gov/show/NCT04433715"
300,"Effects of Iyengar Yoga Therapy in the Management of Stress Urinary Incontinence Among Young Females","Completed","No Results Available","Stress Urinary Incontinence","Behavioral: iyengar yoga","Ziauddin university, Karachi, Sindh, Pakistan","https://ClinicalTrials.gov/show/NCT04428853"
301,"Comparisons of the Impact of Duloxetine Versus Imipramine on Therapeutic Efficacy, Psychological Distress, Sexual Function, Urethral and Bladder Wall Structure and Blood Flow in Women With Stress Urinary Incontinence: a Randomized Controlled Study","Recruiting","No Results Available","Stress Urinary Incontinence","Drug: Duloxetine|Drug: Imipramine","Department of Obstetrics and Gynecology, Far-Eastern Memorial Hospital, Banqiao, New Taipei, Taiwan","https://ClinicalTrials.gov/show/NCT04412876"
302,"Evaluation of the Effect of a Postural Reflex Rehabilitation Program on a Foam Surface on Stress Urinary Incontinence in Women","Not yet recruiting","No Results Available","Urinary Incontinence,Stress","Other: intervenions",,"https://ClinicalTrials.gov/show/NCT04390204"
303,"Long-term Effectiveness of Non-ablative Er: YAG Laser for Treatment of Stress Urinary Incontinence (SUI)","Completed","No Results Available","Stress Urinary Incontinence","Device: Non-ablative thermal-only Er:YAG laser therapy",,"https://ClinicalTrials.gov/show/NCT04348994"
304,"The Effect of Pelvic Floor Muscle Training With Stabilization Exercises With Various Intensity in Women With Stress Urinary Incontinence","Completed","No Results Available","Stress Urinary Incontinence","Other: Pelvic Floor Muscle Training (PFMT)","Pavol Jozef Safarik University, Faculty of Medicine, Kosice, Slovakia","https://ClinicalTrials.gov/show/NCT04340323"
